山手線,山手線（内回り）,山手線（外回り）,【東京】▲４番線,【有楽町】▲２番線,【新橋】▲５番線,【浜松町】▲２番線,【田町】▲２番線,【品川】▲１番線,【大崎】▲１・２番線,【五反田】▲１番線,【目黒】▲１番線,【恵比寿】▲２番線,【渋谷】▲２番線,【原宿】▲１番線,【代々木】▲２番線,【新宿】▲１４番線,【新大久保】▲２番線,【高田馬場】▲２番線,【目白】▲１番線,【池袋】▲５・６番線,【大塚】▲１番線,【巣鴨】▲２番線,【駒込】▲２番線,【田端】▲２番線,【西日暮里】▲３番線,【日暮里】▲１１番線,【鶯谷】▲２番線,【上野】▲２番線,【御徒町】▲３番線,【秋葉原】▲２番線,【神田】▲３番線,【東京】▼５番線,【有楽町】▼３番線,【新橋】▼４番線,【浜松町】▼３番線,【田町】▼３番線,【品川】▼２番線,【大崎】▼３・４番線,【五反田】▼２番線,【目黒】▼２番線,【恵比寿】▼１番線,【渋谷】▼１番線,【原宿】▼２番線,【代々木】▼１番線,【新宿】▼１５番線,【新大久保】▼１番線,【高田馬場】▼１番線,【目白】▼２番線,【池袋】▼７・８番線,【大塚】▼２番線,【巣鴨】▼１番線,【駒込】▼１番線,【田端】▼３番線,【西日暮里】▼２番線,【日暮里】▼１０番線,【鶯谷】▼３番線,【上野】▼３番線,【御徒町】▼２番線,【秋葉原】▼３番線,【神田】▼２番線
中央線（快速）,中央線（東京行き）,中央線（吉祥寺行き）,【東京着】▷１・２番線,【神田】▲５番線,【御茶ノ水】▲４番線,【四ツ谷】▲１番線,【新宿】▲７・８番線,【中野】▲７・８番線,【高円寺】▲４番線,【阿佐ケ谷】▲４番線,【荻窪】▲４番線,【西荻窪】▲４番線,【吉祥寺】▲４番線,【東京発】▼１・２番線,【神田】▼６番線,【御茶ノ水】▼１番線,【四ツ谷】▼２番線,【新宿】▼１１・１２番線,【中野】▼６番線,【高円寺】▼３番線,【阿佐ケ谷】▼３番線,【荻窪】▼３番線,【西荻窪】▼３番線,【吉祥寺】▼３番線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
常磐線・上野東京ライン直通,常磐線・上野東京ライン直通（松戸行き）,常磐線・上野東京ライン直通（品川行き）,【金町】▲１番線,【亀有】▲１番線,【綾瀬】▲３・４番線,【北千住】▲１番線,【南千住】▲１番線,【三河島】▲２番線,【日暮里】▲４番線,【上野】▲６番線,【東京】▲７・８番線,【新橋】▲２番線,【品川】▲９・１０番線,【品川】▲１１番線,【金町】▼２番線,【亀有】▼２番線,【綾瀬】▼１・２番線,【北千住】▼２・３番線,【南千住】▼２番線,【三河島】▼１番線,【日暮里】▼３番線,【上野】▼８番線,【上野】▼９・１０番線,【上野】▷ １１・１２番線,【東京】▼９・１０番線,【新橋】▼１番線,【品川】▷９・１０番線,【品川】▷１１番線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
京浜東北線,京浜東北線（北行き）,京浜東北線（南行き）,【赤羽】▲２番線,【東十条】▲４番線,【王子】▲１番線,【上中里】▲１番線,【田端】▲１番線,【西日暮里】▲４番線,【日暮里】▲１２番線,【鶯谷】▲１番線,【上野】▲１番線,【御徒町】▲４番線,【秋葉原】▲１番線,【神田】▲４番線,【東京】▲３番線,【有楽町】▲１番線,【新橋】▲６番線,【浜松町】▲１番線,【田町】▲１番線,【品川】▲３番線,【大井町】▲１番線,【大森】▲２番線,【蒲田】▲３・４番線,【赤羽】▼１番線,【東十条】▼１番線,【王子】▼２番線,【上中里】▼２番線,【田端】▼４番線,【西日暮里】▼１番線,【日暮里】▼９番線,【鶯谷】▼４番線,【上野】▼４番線,【御徒町】▼１番線,【秋葉原】▼４番線,【神田】▼１番線,【東京】▼６番線,【有楽町】▼４番線,【新橋】▼３番線,【浜松町】▼４番線,【田町】▼４番線,【品川】▼５番線,【大井町】▼２番線,【大森】▼１番線,【蒲田】▼１・２番線,,,,,,,,,,,,,,,,
京葉線・武蔵野線,京葉線・武蔵野線（舞浜行き）,京葉線・武蔵野線（東京行き）,【舞浜】▲１番線,【葛西臨海公園】▲１番線,【新木場】▲１番線,【潮見】▲１番線,【越中島】▲１番線,【八丁堀】▲１番線,【東京】▲ 京葉１・２番線,【東京】▲ 京葉３・４番線,【舞浜】▼２番線,【葛西臨海公園】▼２番線,【新木場】▼２番線,【潮見】▼２番線,【越中島】▼２番線,【八丁堀】▼２番線,【東京】▷京葉１・２番線,【東京】▷京葉３・４番線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
埼京線,埼京線（浮間舟渡行き）,埼京線（大崎行き）,【浮間舟渡】▲２番線,【北赤羽】▲２番線,【赤羽】▲８番線,【十条】▲１番線,【板橋】▲１番線,【池袋】▲４番線,【新宿】▲３・４番線,【渋谷】▲３番線,【恵比寿】▲３番線,【大崎】▲７・８番線,【浮間舟渡】▼１番線,【北赤羽】▼１番線,【赤羽】▼７番線,【十条】▼２番線,【板橋】▼２番線,【池袋】▼１番線,【新宿】▼１・２番線,【渋谷】▼４番線,【恵比寿】▼４番線,【大崎】▷５・６番線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湘南新宿ライン,湘南新宿ライン（赤羽行き）,湘南新宿ライン（西大井行き）,【赤羽】▲６番線,【池袋】▲３番線,【新宿】▲３・４番線,【渋谷】▲３番線,【恵比寿】▲３番線,【大崎】▲８番線,【西大井】▲２番線,【赤羽】▼５番線,【池袋】▼２番線,【新宿】▼１・２番線,【渋谷】▼４番線,【恵比寿】▼４番線,【大崎】▼５番線,【西大井】▼１番線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
総武線,総武線（小岩行き）,総武線（吉祥寺行き）,【小岩】▲２番線,【新小岩】▲２番線,【平井】▲２番線,【亀戸】▲２番線,【錦糸町】▲２番線,【両国】▲２番線,【浅草橋】▲２番線,【秋葉原】▲６番線,【御茶ノ水】▲３番線,【水道橋】▲２番線,【飯田橋】▲１番線,【市ヶ谷】▲２番線,【四ツ谷】▲３番線,【信濃町】▲１番線,【千駄ヶ谷】▲２番線,【代々木】▲４番線,【新宿】▲１３番線,【大久保】▲２番線,【東中野】▲２番線,【中野】▲２・５番線,【高円寺】▲２番線,【阿佐ヶ谷】▲２番線,【荻窪】▲２番線,【西荻窪】▲２番線,【吉祥寺】▲２番線,【小岩】▼１番線,【新小岩】▼１番線,【平井】▼１番線,【亀戸】▼１番線,【錦糸町】▼１番線,【両国】▼１番線,【浅草橋】▼１番線,【秋葉原】▼５番線,【御茶ノ水】▼２番線,【水道橋】▼１番線,【飯田橋】▼２番線,【市ヶ谷】▼１番線,【四ツ谷】▼４番線,【信濃町】▼２番線,【千駄ヶ谷】▼１番線,【代々木】▼３番線,【新宿】▼１６番線,【大久保】▼１番線,【東中野】▼１番線,【中野】▼１・３番線,【高円寺】▼１番線,【阿佐ヶ谷】▼１番線,【荻窪】▼１番線,【西荻窪】▼１番線,【吉祥寺】▼１番線,,,,,,,,
高崎線 ・東海道線直通,高崎線 ・東海道線直通（赤羽行き）,高崎線 ・東海道線直通（品川行き）,【赤羽】▲４番線,【尾久】▲２番線,【上野】▲５番線,【東京】▲７・８番線,【新橋】▲２番線,【品川】▲６番線,【赤羽】▼３番線,【尾久】▼１番線,【上野】▼７番線,【上野】▷１３番線,【上野】▷１４・１５番線,【東京】▼９・１０番線,【新橋】▼１番線,【品川】▼１１・１２番線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
総武線（快速）横須賀線直通,総武線（快速）横須賀線直通（新小岩行き）,総武線（快速）横須賀線直通（西大井行き）,【新小岩】▲４番線,【錦糸町】▲４番線,【馬喰町】▲２番線,【新日本橋】▲２番線,【東京】▲地下３・４番線,【新橋】▲地下２番線,【品川】▲１３・１４番線,【西大井】▲２番線,【新小岩】▼３番線,【錦糸町】▼３番線,【馬喰町】▼１番線,【新日本橋】▼１番線,【東京】▼地下１・２番線,【新橋】▼地下１番線,【品川】▼１５番線,【西大井】▼１番線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
千代田線,-,-,代々木上原,代々木公園,明治神宮前,表参道,乃木坂,赤坂,国会議事堂前,霞ケ関,日比谷,二重橋前,大手町,新御茶ノ水,湯島,根津,千駄木,西日暮里,町屋,北千住,綾瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
