品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,９番線のりば（特急）,１号車,（中央改札）,階段,２号車,（中央改札）,エレベーター,５号車,待合室,６号車,（中央改札）,階段・エスカレーター,１１号車,（北改札）,階段,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,１０番線のりば,１０両編成と１５両編成では、乗車位置が異なります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,中央改札,・トイレ,・コインロッカー,・コンビニ,・エキュート品川,・エキュート品川 サウス,・他JR乗り換え,・京浜急行のりば,・新幹線のりば,・成田エクスプレス,・きっぷうりば,・びゅうプラザ,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,北改札,・トイレ,・コインロッカー,・新幹線のりば,・成田エクスプレス,・きっぷうりば,・びゅうプラザ,,,,,,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,港南口（東口）アトレ方面,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,高輪口（西口）,・バス,・高速バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,中央改札,・トイレ,・コインロッカー,・コンビニ,・エキュート品川,・エキュート品川 サウス,・他JR乗り換え,・京浜急行のりば,・新幹線のりば,・成田エクスプレス,・きっぷうりば,・びゅうプラザ,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,北改札,・トイレ,・コインロッカー,・新幹線のりば,・成田エクスプレス,・きっぷうりば,・びゅうプラザ,,,,,,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,港南口（東口）アトレ方面,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,高輪口（西口）,・バス,・高速バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,中央改札,・トイレ,・コインロッカー,・コンビニ,・エキュート品川,・エキュート品川 サウス,・他JR乗り換え,・京浜急行のりば,・新幹線のりば,・成田エクスプレス,・きっぷうりば,・びゅうプラザ,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,北改札,・トイレ,・コインロッカー,・新幹線のりば,・成田エクスプレス,・きっぷうりば,・びゅうプラザ,,,,,,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,港南口（東口）アトレ方面,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,改札・出口案内,高輪口（西口）,・バス,・高速バス,・タクシー,,,,,,,,,,,,,,,,,,,,,,,,,,,
品川駅着,上野東京ライン/常磐線（９・１０番線）出口に近い・乗り換えに便利な乗車位置案,JR東日本公式サイト：品川駅,-,www.jreast.co.jp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,高崎線・高崎方面行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１５両編成】,２号車後方,（南改札口）,階段,４号車,（南改札口）,エレベーター,６号車後方,階段（南改札口）,エスカレーター（北改札口）,８号車前方,（北改札口）,階段,１２号車,（北改札口）,階段・エスカレーター,,,,,,,,,,,,,,,
赤羽駅,高崎線・高崎方面行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,【１０両編成】,１号車後方,階段（南改札口）,エスカレーター（北改札口）,３号車前方,（北改札口）,階段,７号車,（北改札口）,階段・エスカレーター,,,,,,,,,,,,,,,,,,,,,
赤羽駅,高崎線・高崎方面行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
赤羽駅,高崎線・高崎方面行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗車（停車）位置案内,北改札口（エキュート）,・トイレ,・びゅうプラザ,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,・南北線,・バス,・タクシー,,,,,,,,,,,,,,,,,,,,,
赤羽駅,高崎線・高崎方面行き（４番線）出口に近い・乗り換えに便利な乗車位置案,乗り換え案内,南改札口,・宇都宮・高崎線,・上野東京ライン,・湘南新宿ライン,・埼京線（りんかい線）,,,,,,,,,,,,,,,,,,,,,,,,,,
